time;sig_left;sig_right
0.000000;0.000240;0.000003
5.208333;0.000012;-0.000608
10.416667;0.000234;-0.000245
15.625000;0.000761;0.000466
20.833334;0.000657;0.000498
26.041666;-0.000019;-0.000383
31.250000;0.000066;-0.000572
36.458332;0.000365;-0.000127
41.666668;0.000914;0.000642
46.875000;0.000426;0.000096
52.083332;-0.000100;-0.000488
57.291668;0.000177;-0.000581
62.500000;0.000606;0.000298
67.708336;0.000743;0.000457
72.916664;0.000214;0.000002
78.125000;0.000008;-0.000660
83.333336;0.000253;-0.000215
88.541664;0.000798;0.000406
93.750000;0.000647;0.000475
98.958336;-0.000033;-0.000413
104.166664;0.000051;-0.000541
109.375000;0.000544;-0.000006
114.583336;0.000802;0.000526
119.791664;0.000448;0.000199
125.000000;-0.000157;-0.000536
130.208328;0.000184;-0.000454
135.416672;0.000626;0.000284
140.625000;0.000710;0.000499
145.833328;0.000149;-0.000071
151.041672;-0.000082;-0.000740
156.250000;0.000310;-0.000049
161.458328;0.000869;0.000454
166.666672;0.000538;0.000393
171.875000;0.000004;-0.000468
177.083328;-0.000036;-0.000476
182.291672;0.000507;0.000047
187.500000;0.000913;0.000552
192.708328;0.000376;0.000113
197.916672;-0.000066;-0.000569
203.125000;0.000132;-0.000300
208.333328;0.000771;0.000322
213.541672;0.000647;0.000456
218.750000;0.000136;-0.000207
223.958328;-0.000191;-0.000666
229.166672;0.000414;-0.000070
234.375000;0.000785;0.000441
239.583328;0.000546;0.000309
244.791672;-0.000030;-0.000440
250.000000;0.000012;-0.000460
255.208328;0.000548;0.000095
260.416656;0.000889;0.000570
265.625000;0.000251;0.000000
270.833344;-0.000080;-0.000565
276.041656;0.000109;-0.000288
281.250000;0.000872;0.000409
286.458344;0.000671;0.000388
291.666656;0.000011;-0.000257
296.875000;-0.000144;-0.000602
302.083344;0.000353;-0.000105
307.291656;0.000915;0.000531
312.500000;0.000433;0.000209
317.708344;-0.000135;-0.000468
322.916656;0.000115;-0.000410
328.125000;0.000519;0.000268
333.333344;0.000940;0.000485
338.541656;0.000171;-0.000015
343.750000;-0.000227;-0.000446
348.958344;0.000152;-0.000293
354.166656;0.000762;0.000361
359.375000;0.000685;0.000529
364.583344;0.000097;-0.000450
369.791656;-0.000055;-0.000511
375.000000;0.000490;0.000073
380.208344;0.000832;0.000421
385.416656;0.000497;0.000202
390.625000;-0.000161;-0.000468
395.833344;-0.000045;-0.000397
401.041656;0.000642;0.000237
406.250000;0.000895;0.000539
411.458344;0.000112;-0.000086
416.666656;-0.000096;-0.000602
421.875000;0.000126;-0.000248
427.083344;0.000978;0.000530
432.291656;0.000654;0.000243
437.500000;0.000037;-0.000205
442.708344;-0.000135;-0.000576
447.916656;0.000457;0.000047
453.125000;0.000775;0.000571
458.333344;0.000484;0.000070
463.541656;-0.000303;-0.000543
468.750000;0.000093;-0.000408
473.958344;0.000699;0.000265
479.166656;0.000840;0.000507
484.375000;0.000084;-0.000223
489.583344;-0.000192;-0.000521
494.791656;0.000154;-0.000117
500.000000;0.000935;0.000487
505.208344;0.000594;0.000335
510.416656;-0.000010;-0.000403
515.625000;-0.000187;-0.000551
520.833313;0.000465;0.000159
526.041687;0.000928;0.000432
531.250000;0.000371;0.000122
536.458313;-0.000294;-0.000667
541.666687;0.000114;-0.000267
546.875000;0.000687;0.000295
552.083313;0.000777;0.000474
557.291687;0.000088;-0.000126
562.500000;-0.000243;-0.000656
567.708313;0.000243;0.000087
572.916687;0.000900;0.000380
578.125000;0.000583;0.000355
583.333313;-0.000113;-0.000530
588.541687;-0.000051;-0.000484
593.750000;0.000482;0.000274
598.958313;0.000908;0.000404
604.166687;0.000247;0.000095
609.375000;-0.000136;-0.000580
614.583313;0.000027;-0.000331
619.791687;0.000770;0.000496
625.000000;0.000650;0.000281
630.208313;0.000054;-0.000223
635.416687;-0.000220;-0.000532
640.625000;0.000285;-0.000124
645.833313;0.000934;0.000613
651.041687;0.000447;0.000148
656.250000;-0.000048;-0.000497
661.458313;-0.000044;-0.000432
666.666687;0.000584;0.000351
671.875000;0.000854;0.000403
677.083313;0.000167;-0.000128
682.291687;-0.000133;-0.000541
687.500000;0.000015;-0.000097
692.708313;0.000791;0.000427
697.916687;0.000629;0.000337
703.125000;0.000025;-0.000378
708.333313;-0.000184;-0.000554
713.541687;0.000487;0.000148
718.750000;0.000738;0.000450
723.958313;0.000560;0.000118
729.166687;-0.000144;-0.000553
