time;peak_right
1035,349243;0,002483
1057,140747;0,008232
1079,678955;0,020720
1103,063599;0,046434
1126,382812;0,075032
1150,697388;0,118244
1175,239868;0,165337
1199,338745;0,225798
1223,936646;0,297746
1248,652832;0,353816
1273,110352;0,410389
1297,733765;0,494310
1322,545776;0,551763
1347,272705;0,589616
1371,825562;0,651359
1396,658203;0,711450
1421,551270;0,741558
1446,498413;0,777106
1472,085571;0,831448
1497,903442;0,841898
