time;peak_left
1103,937134;0,002525
1128,248657;0,010136
1151,342163;0,026079
1175,372559;0,051977
1199,087036;0,085142
1223,661743;0,132500
1248,315918;0,183792
1272,511353;0,240871
1297,148315;0,318083
1321,967285;0,386143
1346,548706;0,440254
1370,988403;0,523890
1395,824585;0,601843
1420,680786;0,655046
1445,236694;0,688724
1469,865723;0,771096
1494,778442;0,830624
1519,682495;0,859200
1544,324219;0,865229
1569,030396;0,936231
