time;peak_left
1187.328125;0.002071
1212.310913;0.004369
1235.003784;0.011280
1258.339844;0.026721
1281.399292;0.051764
1305.604614;0.081181
1329.668945;0.119134
1354.229614;0.181404
1378.869019;0.242093
1403.175659;0.294603
1427.799438;0.379178
1452.643433;0.461751
1477.358276;0.519807
1501.813965;0.586195
1526.625977;0.678500
1551.526489;0.749245
1576.299438;0.782970
1600.886108;0.840044
1625.741577;0.922082
1650.686890;0.971266
