time;sig_left;sig_right
0.000000;0.001917;0.000051
5.208333;0.001937;0.000969
10.416667;0.001069;-0.000077
15.625000;0.000062;0.001318
20.833334;0.001123;0.000438
26.041666;0.002037;-0.000211
31.250000;0.001637;0.001159
36.458332;0.000613;0.000120
41.666668;0.000317;0.001398
46.875000;0.001721;0.000144
52.083332;0.002043;0.000413
57.291668;0.001110;-0.000013
62.500000;0.000411;0.001282
67.708336;0.000733;0.000633
72.916664;0.002183;-0.000264
78.125000;0.001756;0.001160
83.333336;0.000977;0.000066
88.541664;0.000191;0.001216
93.750000;0.001348;-0.000047
98.958336;0.002223;0.000602
104.166664;0.001496;0.000029
109.375000;0.000532;0.000883
114.583336;0.000361;0.000844
119.791664;0.001952;0.000359
125.000000;0.001906;0.000688
130.208328;0.001261;0.000489
135.416672;-0.000026;0.000737
140.625000;0.000961;0.000858
145.833328;0.002091;-0.000009
151.041672;0.001819;0.000846
156.250000;0.000696;0.000370
161.458328;0.000138;0.001605
166.666672;0.001685;-0.000241
171.875000;0.002029;0.000927
177.083328;0.001683;0.000191
182.291672;0.000310;0.000927
187.500000;0.000586;0.000803
192.708328;0.001964;0.000014
197.916672;0.001838;0.000609
203.125000;0.001166;-0.000041
208.333328;0.000085;0.001575
213.541672;0.001255;0.000318
218.750000;0.001952;0.000430
223.958328;0.001847;0.000025
229.166672;0.000544;0.000960
234.375000;0.000488;0.001036
239.583328;0.001624;0.000187
244.791672;0.002254;0.000218
250.000000;0.001230;0.000381
255.208328;0.000131;0.000777
260.416656;0.000855;0.000885
265.625000;0.001975;0.000013
270.833344;0.001882;0.000487
276.041656;0.000931;0.000389
281.250000;0.000243;0.001183
286.458344;0.001511;0.000284
291.666656;0.002246;0.000329
296.875000;0.001568;0.000270
302.083344;0.000450;0.000916
307.291656;0.000429;0.000993
312.500000;0.001870;0.000041
317.708344;0.001893;0.000796
322.916656;0.001343;0.000317
328.125000;0.000050;0.001229
333.333344;0.001083;0.000682
338.541656;0.002111;0.000018
343.750000;0.001708;0.000747
348.958344;0.000789;0.000270
354.166656;0.000268;0.001425
359.375000;0.001674;-0.000236
364.583344;0.002183;0.000537
369.791656;0.001486;0.000116
375.000000;0.000226;0.001187
380.208344;0.000599;0.001034
385.416656;0.002122;-0.000040
390.625000;0.001937;0.000740
395.833344;0.001139;0.000410
401.041656;0.000032;0.001142
406.250000;0.001326;0.000563
411.458344;0.002136;-0.000143
416.666656;0.001653;0.000606
421.875000;0.000559;0.000505
427.083344;0.000270;0.001479
432.291656;0.001897;-0.000449
437.500000;0.001910;0.000869
442.708344;0.001345;-0.000307
447.916656;0.000135;0.001734
453.125000;0.000819;-0.000040
458.333344;0.002131;0.000375
463.541656;0.001867;0.000661
468.750000;0.000680;0.000648
473.958344;0.000358;0.001096
479.166656;0.001304;0.000264
484.375000;0.002152;0.000771
489.583344;0.001345;-0.000304
494.791656;0.000529;0.001296
500.000000;0.000195;0.000934
505.208344;0.002251;-0.000108
510.416656;0.001773;0.000199
515.625000;0.001210;0.000203
520.833313;0.000159;0.001256
526.041687;0.000856;0.000125
531.250000;0.002319;0.000411
536.458313;0.001732;0.000511
541.666687;0.000789;0.000624
546.875000;0.000210;0.001378
552.083313;0.001650;0.000096
557.291687;0.002287;0.000399
562.500000;0.001249;0.000438
567.708313;0.000490;0.001078
572.916687;0.000468;0.000847
578.125000;0.002070;0.000178
583.333313;0.001890;0.000327
588.541687;0.001031;0.000312
593.750000;0.000286;0.000881
598.958313;0.001204;0.000646
604.166687;0.002191;-0.000072
609.375000;0.001580;0.000624
614.583313;0.000404;0.000554
619.791687;0.000517;0.001198
625.000000;0.001807;-0.000414
630.208313;0.002159;0.000852
635.416687;0.001297;-0.000092
640.625000;0.000209;0.001262
645.833313;0.000796;0.000637
651.041687;0.002072;0.000008
656.250000;0.001944;0.000345
661.458313;0.000828;-0.000261
666.666687;0.000180;0.001448
671.875000;0.001558;-0.000058
677.083313;0.002145;0.000154
682.291687;0.001415;0.000959
687.500000;0.000456;0.000290
692.708313;0.000571;0.001373
697.916687;0.001787;0.000220
703.125000;0.002037;0.000484
708.333313;0.001033;0.000327
713.541687;0.000130;0.000875
718.750000;0.001262;0.000676
723.958313;0.001990;0.000080
729.166687;0.001791;0.000636
734.375000;0.000563;0.000466
739.583313;0.000383;0.001124
744.791687;0.001660;-0.000362
750.000000;0.002100;0.000982
755.208313;0.001403;0.000451
760.416687;0.000294;0.000626
765.625000;0.000821;0.001081
770.833313;0.002119;0.000266
776.041687;0.001987;0.000436
781.250000;0.000890;0.000108
786.458313;0.000215;0.000993
791.666687;0.001163;0.000111
796.875000;0.002242;0.000561
802.083313;0.001440;0.000527
807.291687;0.000626;0.000688
812.500000;0.000425;0.000856
817.708313;0.001588;0.000106
822.916687;0.002245;0.000591
828.125000;0.001026;0.000096
833.333313;0.000319;0.000512
838.541687;0.000859;0.000803
843.750000;0.002151;0.000271
848.958313;0.001887;0.000374
854.166687;0.000831;0.000469
859.375000;0.000315;0.000977
864.583313;0.001516;0.000499
869.791687;0.002108;0.000204
875.000000;0.001682;0.000467
880.208313;0.000228;0.000498
885.416687;0.000823;0.001057
890.625000;0.001799;0.000193
895.833313;0.001948;0.000650
901.041687;0.000930;0.000342
906.250000;0.000308;0.000773
911.458313;0.001197;0.000610
916.666687;0.002017;0.000345
921.875000;0.001773;0.000047
927.083313;0.000573;0.000481
932.291687;0.000485;0.000953
937.500000;0.001694;0.000581
942.708313;0.002196;0.000214
947.916687;0.001241;0.000301
953.125000;0.000413;0.000743
958.333313;0.000639;0.000816
963.541687;0.001979;0.000449
968.750000;0.001910;0.000397
973.958313;0.000913;0.000293
979.166687;0.000299;0.000860
984.375000;0.001146;0.000541
989.583313;0.002086;0.000262
994.791687;0.001820;0.000145
1000.000000;0.000454;0.000621
1005.208313;0.000397;0.000956
1010.416687;0.001722;0.000240
1015.625000;0.002100;0.000178
1020.833313;0.001273;0.000299
1026.041626;0.000171;0.000834
1031.250000;0.000943;0.000653
1036.458374;0.001956;0.000195
1041.666626;0.001991;0.000650
1046.875000;0.000787;0.000326
1052.083374;0.000138;0.001368
1057.291626;0.001436;-0.000043
1062.500000;0.002071;0.000451
1067.708374;0.001583;0.000119
1072.916626;0.000350;0.000791
1078.125000;0.000534;0.001247
1083.333374;0.001820;-0.000146
1088.541626;0.002103;0.000248
1093.750000;0.001053;0.000510
1098.958374;0.000053;0.001192
1104.166626;0.001006;0.000516
1109.375000;0.002141;-0.000152
1114.583374;0.001867;0.000162
1119.791626;0.000796;0.000771
1125.000000;0.000052;0.001788
1130.208374;0.001553;-0.000338
1135.416626;0.002180;-0.000080
1140.625000;0.001420;0.000547
1145.833374;0.000263;0.001312
1151.041626;0.000593;0.000854
1156.250000;0.001916;-0.000026
1161.458374;0.002041;-0.000262
1166.666626;0.001000;0.001149
1171.875000;0.000145;0.001253
1177.083374;0.001413;0.000047
1182.291626;0.001831;-0.000396
1187.500000;0.002031;0.000190
1192.708374;0.001419;0.001530
1197.916626;0.000149;0.001386
1203.125000;0.001057;-0.000882
1208.333374;0.003730;-0.000002
1213.541626;0.004829;0.000974
1218.750000;-0.002192;0.001481
1223.958374;-0.004871;0.000508
1229.166626;0.005521;-0.001009
1234.375000;0.014025;0.000452
1239.583374;0.000300;0.001430
1244.791626;-0.018515;0.002101
1250.000000;-0.003293;-0.000890
1255.208374;0.028171;-0.000918
1260.416626;0.019022;0.000550
1265.625000;-0.026629;0.002355
1270.833374;-0.032933;0.001023
1276.041626;0.022679;-0.001256
1281.250000;0.053775;0.000227
1286.458374;0.000080;0.001429
1291.666626;-0.063264;0.002136
1296.875000;-0.028287;-0.001026
1302.083374;0.064016;-0.001031
1307.291626;0.068743;0.001126
1312.500000;-0.038392;0.001777
1317.708374;-0.100648;0.001622
1322.916626;-0.003378;-0.000953
1328.125000;0.118710;-0.000679
1333.333374;0.067755;0.000356
1338.541626;-0.103663;0.004806
1343.750000;-0.131319;0.003504
1348.958374;0.057753;-0.006783
1354.166626;0.179347;-0.007637
1359.375000;0.025624;0.009535
1364.583374;-0.191693;0.018076
1369.791626;-0.122475;-0.006185
1375.000000;0.153542;-0.028305
1380.208374;0.209546;-0.001566
1385.416626;-0.061252;0.040405
1390.625000;-0.266738;0.020386
1395.833374;-0.065591;-0.043931
1401.041626;0.254134;-0.044736
1406.250000;0.200109;0.036470
1411.458374;-0.174749;0.073969
1416.666626;-0.317275;-0.009623
1421.875000;0.032616;-0.093380
1427.083374;0.350190;-0.033823
1432.291626;0.144069;0.096763
1437.500000;-0.314842;0.088094
1442.708374;-0.323109;-0.069276
1447.916626;0.178098;-0.137804
1453.125000;0.415858;0.012280
1458.333374;0.023474;0.167357
1463.541626;-0.450181;0.069842
1468.750000;-0.254434;-0.157611
1473.958374;0.339420;-0.159377
1479.166626;0.418467;0.100618
1484.375000;-0.139321;0.228493
1489.583374;-0.544223;0.001239
1494.791626;-0.124479;-0.256084
1500.000000;0.482106;-0.129130
1505.208374;0.365046;0.217475
1510.416626;-0.326969;0.247977
1515.625000;-0.587333;-0.112150
1520.833374;0.054640;-0.332345
1526.041626;0.597808;-0.043287
1531.250000;0.244281;0.333660
1536.458374;-0.527553;0.215818
