time;sig_left;sig_right
0.000000;0.000572;0.000803
5.208333;0.000622;0.000584
10.416667;0.001795;0.000530
15.625000;0.002099;0.000607
20.833334;0.001204;0.000201
26.041666;0.000425;0.000977
31.250000;0.001139;-0.000013
36.458332;0.002158;0.001266
41.666668;0.001671;0.000355
46.875000;0.000564;0.000240
52.083332;0.000668;0.000973
57.291668;0.001434;0.000040
62.500000;0.002240;0.001007
67.708336;0.001262;0.000294
72.916664;0.000631;0.001099
78.125000;0.001093;0.000630
83.333336;0.002019;0.001457
88.541664;0.002070;0.000990
93.750000;0.001014;-0.000143
98.958336;0.000390;0.001039
104.166664;0.001324;0.000343
109.375000;0.002050;0.000259
114.583336;0.001729;0.000687
119.791664;0.000445;0.000322
125.000000;0.000643;0.000738
130.208328;0.001612;0.000523
135.416672;0.002151;0.000966
140.625000;0.001159;0.000091
145.833328;0.000620;0.000659
151.041672;0.000929;0.000828
156.250000;0.002151;0.000656
161.458328;0.001817;0.000670
166.666672;0.000700;0.000132
171.875000;0.000536;0.000788
177.083328;0.001498;0.000709
182.291672;0.002082;0.000282
187.500000;0.001638;0.000613
192.708328;0.000341;0.000821
197.916672;0.000769;0.000890
203.125000;0.001740;0.000351
208.333328;0.002165;0.000657
213.541672;0.001111;0.000540
218.750000;0.000387;0.000742
223.958328;0.001150;0.000654
229.166672;0.002143;0.000627
234.375000;0.001738;0.000782
239.583328;0.000809;0.000354
244.791672;0.000519;0.000715
250.000000;0.001551;0.000774
255.208328;0.002258;0.000354
260.416656;0.001337;0.000319
265.625000;0.000551;0.000722
270.833344;0.000731;0.000964
276.041656;0.002070;0.000301
281.250000;0.001928;0.000469
286.458344;0.001077;0.000745
291.666656;0.000540;0.000996
296.875000;0.001005;0.000535
302.083344;0.002252;0.000636
307.291656;0.001674;0.000361
312.500000;0.000636;0.000724
317.708344;0.000562;0.000716
322.916656;0.001889;0.000166
328.125000;0.002476;0.001150
333.333344;0.001200;0.001588
338.541656;0.000412;0.000633
343.750000;0.001078;0.001102
348.958344;0.001944;0.000338
354.166656;0.001756;0.000656
359.375000;0.000886;-0.000013
364.583344;0.000401;0.000865
369.791656;0.001447;0.000533
375.000000;0.002146;0.000303
380.208344;0.001627;0.000395
385.416656;0.000606;0.000740
390.625000;0.000507;0.000279
395.833344;0.001895;0.000802
401.041656;0.002271;0.000222
406.250000;0.001132;0.001096
411.458344;0.000290;0.000025
416.666656;0.001414;0.000891
421.875000;0.002077;0.000679
427.083344;0.001853;0.001013
432.291656;0.000642;0.000057
437.500000;0.000448;0.000974
442.708344;0.001757;0.000931
447.916656;0.002120;0.000681
453.125000;0.001575;0.000163
458.333344;0.000366;0.000891
463.541656;0.000973;0.000941
468.750000;0.001801;0.000334
473.958344;0.002105;0.000434
479.166656;0.001037;0.000623
484.375000;0.000231;0.000970
489.583344;0.001599;0.000016
494.791656;0.002063;0.001093
500.000000;0.001885;-0.000038
505.208344;0.000688;0.000927
510.416656;0.000346;0.000590
515.625000;0.001959;0.000270
520.833313;0.001984;0.000880
526.041687;0.001453;0.000340
531.250000;0.000319;0.000589
536.458313;0.001051;0.000777
541.666687;0.002010;0.000601
546.875000;0.002078;0.000018
552.083313;0.000777;0.000340
557.291687;0.000604;0.001375
562.500000;0.001310;0.000141
567.708313;0.002286;0.000534
572.916687;0.001715;0.000340
578.125000;0.000647;0.001630
583.333313;0.000509;0.000713
588.541687;0.001934;0.000671
593.750000;0.002267;0.000458
598.958313;0.000892;0.000557
604.166687;0.000586;0.000070
609.375000;0.000922;0.000709
614.583313;0.002327;0.000332
619.791687;0.001707;0.000294
625.000000;0.000761;0.000544
630.208313;0.000481;0.000641
635.416687;0.001595;0.000883
640.625000;0.002275;0.000310
645.833313;0.001483;0.000670
651.041687;0.000457;0.000907
656.250000;0.000823;0.000786
661.458313;0.001942;0.000240
666.666687;0.002098;0.001008
671.875000;0.000979;0.000617
677.083313;0.000152;0.000844
682.291687;0.001425;0.000102
687.500000;0.002250;0.000959
692.708313;0.001742;0.000576
697.916687;0.000664;0.000248
703.125000;0.000566;0.001071
708.333313;0.001669;0.000455
713.541687;0.002112;0.000400
718.750000;0.001180;0.000270
723.958313;0.000526;0.000952
729.166687;0.000853;0.000874
734.375000;0.002058;0.000374
739.583313;0.002031;0.000602
744.791687;0.000784;0.000529
750.000000;0.000484;0.000729
755.208313;0.001298;0.000741
760.416687;0.002332;0.000210
765.625000;0.001542;0.000630
770.833313;0.000706;0.000496
776.041687;0.000535;0.000582
781.250000;0.002041;0.000589
786.458313;0.002336;0.000827
791.666687;0.001072;0.000239
796.875000;0.000328;0.000456
802.083313;0.001187;0.000973
807.291687;0.002200;0.000633
812.500000;0.001608;0.000749
817.708313;0.000825;0.000065
822.916687;0.000345;0.001445
828.125000;0.001803;0.000694
833.333313;0.001963;0.000584
838.541687;0.001669;0.000435
843.750000;0.000575;0.000718
848.958313;0.000930;0.001376
854.166687;0.002076;0.000686
859.375000;0.001990;0.000492
864.583313;0.001097;0.000394
869.791687;0.000129;0.000696
875.000000;0.001252;0.000302
880.208313;0.002198;0.000514
885.416687;0.001477;0.000336
890.625000;0.000673;0.000297
895.833313;0.000481;0.000443
901.041687;0.001884;0.000519
906.250000;0.002016;0.000479
911.458313;0.001490;0.000468
916.666687;0.000216;0.000599
921.875000;0.001001;0.000684
927.083313;0.001891;0.000198
932.291687;0.001945;0.000409
937.500000;0.000861;0.000626
942.708313;0.000412;0.000592
947.916687;0.001347;0.000740
953.125000;0.002295;0.000326
958.333313;0.001560;0.001035
963.541687;0.000457;0.000713
968.750000;0.000835;0.000843
973.958313;0.001875;0.000207
979.166687;0.002158;0.000922
984.375000;0.001109;-0.000142
989.583313;0.000388;0.000726
994.791687;0.001199;0.000849
1000.000000;0.002217;0.000120
1005.208313;0.001775;0.000200
1010.416687;0.000726;0.000381
1015.625000;0.000547;0.001075
1020.833313;0.001465;0.000187
1026.041626;0.002129;0.000808
1031.250000;0.001432;0.000326
1036.458374;0.000507;0.000659
1041.666626;0.000821;0.000643
1046.875000;0.002027;0.000215
1052.083374;0.002053;0.000769
1057.291626;0.001179;0.000513
1062.500000;0.000231;0.000473
1067.708374;0.001479;0.000753
1072.916626;0.002194;0.000189
1078.125000;0.001780;0.000654
1083.333374;0.000589;0.000206
1088.541626;0.000545;0.000936
1093.750000;0.001697;0.000580
1098.958374;0.002145;0.000621
1104.166626;0.001354;-0.000137
1109.375000;0.000396;0.000983
1114.583374;0.000810;0.000470
1119.791626;0.002101;0.000754
1125.000000;0.001887;0.000146
1130.208374;0.000891;0.000680
1135.416626;0.000234;0.000788
1140.625000;0.001340;0.000304
1145.833374;0.002391;0.000614
1151.041626;0.001562;0.000510
1156.250000;0.000636;0.000368
1161.458374;0.000741;0.000783
1166.666626;0.001832;0.000405
1171.875000;0.001623;0.000461
1177.083374;0.001791;0.000210
1182.291626;0.002454;0.001180
1187.500000;0.001765;0.000711
1192.708374;-0.000576;0.000140
1197.916626;0.000491;0.000765
1203.125000;0.007335;0.000250
1208.333374;0.006383;0.001556
1213.541626;-0.005878;0.000005
1218.750000;-0.009113;0.000256
1223.958374;0.009256;0.000439
1229.166626;0.022248;0.000942
1234.375000;-0.000992;0.000956
1239.583374;-0.027448;0.000023
1244.791626;-0.007766;0.000191
1250.000000;0.037514;0.001024
1255.208374;0.029664;0.001177
1260.416626;-0.030578;0.000372
1265.625000;-0.048889;-0.000050
1270.833374;0.018009;0.000662
1276.041626;0.072212;0.001014
1281.250000;0.015683;0.002046
1286.458374;-0.076055;-0.000674
1291.666626;-0.054995;0.000598
1296.875000;0.066215;0.000404
1302.083374;0.101449;0.000736
1307.291626;-0.023493;0.001909
1312.500000;-0.130461;0.001804
1317.708374;-0.036025;0.001294
1322.916626;0.136097;-0.005171
1328.125000;0.112050;0.001134
1333.333374;-0.098473;0.009752
1338.541626;-0.178541;0.006513
1343.750000;0.026468;-0.013192
1348.958374;0.214180;-0.014752
1354.166626;0.078747;0.016090
1359.375000;-0.199942;0.029077
1364.583374;-0.189277;-0.007315
1369.791626;0.129526;-0.044505
1375.000000;0.267814;-0.006873
1380.208374;-0.002199;0.056242
1385.416626;-0.301569;0.036144
1390.625000;-0.150216;-0.053062
