time;peak_right
1352.621704;0.009300
1375.750122;0.019192
1399.229980;0.038529
1422.434082;0.068075
1446.675903;0.108295
1470.666016;0.150888
1495.087280;0.219997
1519.772095;0.283360
1544.232056;0.330209
1568.713501;0.418662
1593.540894;0.500477
1618.357300;0.555942
1642.871094;0.600549
1667.562866;0.690554
1692.485840;0.757775
1717.390991;0.789989
1742.025391;0.810933
1766.745483;0.889782
1791.711548;0.944220
1816.703735;0.963809
