time;sig_left;sig_right
0.000000;0.000962;0.000355
5.208333;-0.000055;-0.000388
10.416667;-0.000912;-0.000726
15.625000;-0.000427;0.000155
20.833334;0.000643;0.000713
26.041666;0.000653;0.000152
31.250000;-0.000341;-0.000716
36.458332;-0.000926;-0.000367
41.666668;0.000035;0.000451
46.875000;0.000833;0.000617
52.083332;0.000400;-0.000301
57.291668;-0.000817;-0.000627
62.500000;-0.000588;-0.000202
67.708336;0.000364;0.000729
72.916664;0.000783;0.000314
78.125000;0.000007;-0.000600
83.333336;-0.000967;-0.000475
88.541664;-0.000286;0.000150
93.750000;0.000736;0.000895
98.958336;0.000738;-0.000296
104.166664;-0.000573;-0.000402
109.375000;-0.000786;-0.000540
114.583336;0.000149;0.000628
119.791664;0.000794;0.000560
125.000000;0.000311;-0.000431
130.208328;-0.000959;-0.000611
135.416672;-0.000340;-0.000025
140.625000;0.000376;0.000855
145.833328;0.000905;0.000147
151.041672;-0.000239;-0.000585
156.250000;-0.000784;-0.000590
161.458328;-0.000278;0.000446
166.666672;0.000718;0.000797
171.875000;0.000607;-0.000231
177.083328;-0.000637;-0.000561
182.291672;-0.000729;-0.000418
187.500000;0.000296;0.000755
192.708328;0.000804;0.000404
197.916672;0.000285;-0.000470
203.125000;-0.000997;-0.000569
208.333328;-0.000288;-0.000031
213.541672;0.000507;0.000811
218.750000;0.000803;-0.000057
223.958328;-0.000378;-0.000562
229.166672;-0.000895;-0.000449
234.375000;0.000031;0.000463
239.583328;0.000794;0.000716
244.791672;0.000543;-0.000268
250.000000;-0.000815;-0.000664
255.208328;-0.000562;-0.000176
260.416656;0.000344;0.000747
265.625000;0.000854;0.000339
270.833344;0.000027;-0.000482
276.041656;-0.000950;-0.000652
281.250000;-0.000163;0.000308
286.458344;0.000536;0.000775
291.666656;0.000850;-0.000024
296.875000;-0.000530;-0.000591
302.083344;-0.000727;-0.000418
307.291656;-0.000010;0.000598
312.500000;0.000944;0.000615
317.708344;0.000216;-0.000371
322.916656;-0.000690;-0.000627
328.125000;-0.000585;-0.000055
333.333344;0.000491;0.000809
338.541656;0.000839;0.000258
343.750000;-0.000229;-0.000545
348.958344;-0.000780;-0.000529
354.166656;-0.000293;0.000280
359.375000;0.000832;0.000796
364.583344;0.000560;-0.000157
369.791656;-0.000536;-0.000679
375.000000;-0.000823;-0.000185
380.208344;0.000193;0.000644
385.416656;0.000861;0.000554
390.625000;0.000209;-0.000471
395.833344;-0.000900;-0.000589
401.041656;-0.000466;0.000029
406.250000;0.000480;0.000744
411.458344;0.000874;0.000164
416.666656;-0.000231;-0.000583
421.875000;-0.000885;-0.000468
427.083344;-0.000106;0.000350
432.291656;0.000861;0.000612
437.500000;0.000482;-0.000234
442.708344;-0.000679;-0.000553
447.916656;-0.000703;-0.000209
453.125000;0.000307;0.000667
458.333344;0.001060;0.000324
463.541656;-0.000086;-0.000319
468.750000;-0.000793;-0.000717
473.958344;-0.000509;0.000128
479.166656;0.000854;0.000757
484.375000;0.000736;0.000128
489.583344;-0.000432;-0.000576
494.791656;-0.000941;-0.000387
500.000000;0.000065;0.000396
505.208344;0.000878;0.000602
510.416656;0.000468;-0.000200
515.625000;-0.000907;-0.000585
520.833313;-0.000619;-0.000205
526.041687;0.000385;0.000594
531.250000;0.001096;0.000355
536.458313;-0.000194;-0.000312
541.666687;-0.000912;-0.000531
546.875000;-0.000384;0.000075
552.083313;0.000940;0.000747
557.291687;0.000660;0.000022
562.500000;-0.000535;-0.000437
567.708313;-0.000943;-0.000479
572.916687;0.000196;0.000521
578.125000;0.001089;0.000453
583.333313;0.000125;-0.000056
588.541687;-0.000994;-0.000575
593.750000;-0.000664;-0.000211
598.958313;0.000707;0.000590
604.166687;0.001000;0.000326
609.375000;-0.000394;-0.000319
614.583313;-0.001004;-0.000617
619.791687;-0.000133;0.000038
625.000000;0.001041;0.000724
630.208313;0.000656;0.000017
635.416687;-0.000813;-0.000417
640.625000;-0.001058;-0.000561
645.833313;0.000496;0.000432
651.041687;0.001124;0.000527
656.250000;0.000153;0.000049
661.458313;-0.001114;-0.000689
666.666687;-0.000501;-0.000303
671.875000;0.000807;0.000633
677.083313;0.000905;0.000362
682.291687;-0.000490;-0.000278
687.500000;-0.001163;-0.000690
692.708313;-0.000025;0.000190
697.916687;0.001167;0.000597
703.125000;0.000550;0.000306
708.333313;-0.001117;-0.000572
713.541687;-0.000764;-0.000574
718.750000;0.000596;0.000453
723.958313;0.001313;0.000526
729.166687;-0.000220;0.000016
734.375000;-0.001177;-0.000799
739.583313;-0.000434;-0.000189
744.791687;0.001214;0.000532
750.000000;0.000736;0.000551
755.208313;-0.000772;-0.000353
760.416687;-0.001155;-0.000788
765.625000;0.000265;0.000192
770.833313;0.001265;0.000696
776.041687;0.000182;0.000239
781.250000;-0.001156;-0.000682
786.458313;-0.000751;-0.000463
791.666687;0.000862;0.000383
796.875000;0.001096;0.000672
802.083313;-0.000403;-0.000035
807.291687;-0.001396;-0.000854
812.500000;-0.000127;-0.000227
817.708313;0.001207;0.000587
822.916687;0.000773;0.000586
828.125000;-0.001028;-0.000409
833.333313;-0.001031;-0.000810
838.541687;0.000450;0.000149
843.750000;0.001374;0.000835
848.958313;0.000111;0.000205
854.166687;-0.001361;-0.000651
859.375000;-0.000538;-0.000594
864.583313;0.000965;0.000516
869.791687;0.001178;0.000709
875.000000;-0.000638;-0.000125
880.208313;-0.001290;-0.000850
885.416687;0.000028;-0.000226
890.625000;0.001338;0.000678
895.833313;0.000591;0.000522
901.041687;-0.001098;-0.000433
906.250000;-0.001091;-0.000809
