time;sig_left;sig_right
0.000000;0.000552;0.000385
5.208333;0.000075;0.000254
10.416667;-0.000492;-0.000434
15.625000;-0.000437;-0.000380
20.833334;0.000278;0.000041
26.041666;0.000580;0.000439
31.250000;-0.000250;0.000109
36.458332;-0.000496;-0.000478
41.666668;-0.000256;-0.000310
46.875000;0.000494;0.000287
52.083332;0.000374;0.000410
57.291668;-0.000495;-0.000115
62.500000;-0.000369;-0.000607
67.708336;0.000082;0.000025
72.916664;0.000510;0.000341
78.125000;0.000160;0.000267
83.333336;-0.000564;-0.000379
88.541664;-0.000268;-0.000506
93.750000;0.000336;0.000269
98.958336;0.000467;0.000320
104.166664;-0.000209;0.000228
109.375000;-0.000602;-0.000676
114.583336;-0.000099;-0.000179
119.791664;0.000523;0.000285
125.000000;0.000217;0.000433
130.208328;-0.000414;-0.000206
135.416672;-0.000524;-0.000597
140.625000;0.000121;-0.000022
145.833328;0.000672;0.000348
151.041672;-0.000130;0.000131
156.250000;-0.000504;-0.000480
161.458328;-0.000320;-0.000435
166.666672;0.000399;0.000190
171.875000;0.000489;0.000446
177.083328;-0.000268;0.000043
182.291672;-0.000550;-0.000558
187.500000;-0.000099;-0.000197
192.708328;0.000536;0.000404
197.916672;0.000187;0.000305
203.125000;-0.000476;-0.000210
208.333328;-0.000440;-0.000651
213.541672;0.000181;0.000072
218.750000;0.000579;0.000483
223.958328;-0.000132;0.000141
229.166672;-0.000595;-0.000494
234.375000;-0.000239;-0.000316
239.583328;0.000477;0.000254
244.791672;0.000401;0.000318
250.000000;-0.000324;-0.000057
255.208328;-0.000584;-0.000587
260.416656;0.000016;-0.000070
265.625000;0.000597;0.000365
270.833344;0.000158;0.000348
276.041656;-0.000584;-0.000338
281.250000;-0.000427;-0.000492
286.458344;0.000249;0.000130
291.666656;0.000602;0.000339
296.875000;-0.000171;0.000182
302.083344;-0.000550;-0.000614
307.291656;-0.000217;-0.000263
312.500000;0.000507;0.000186
317.708344;0.000362;0.000389
322.916656;-0.000465;-0.000047
328.125000;-0.000549;-0.000601
333.333344;-0.000020;-0.000015
338.541656;0.000612;0.000344
343.750000;0.000052;0.000299
348.958344;-0.000678;-0.000285
354.166656;-0.000326;-0.000567
359.375000;0.000362;0.000318
364.583344;0.000445;0.000290
369.791656;-0.000231;0.000124
375.000000;-0.000592;-0.000578
380.208344;-0.000188;-0.000248
385.416656;0.000519;0.000390
390.625000;0.000387;0.000255
395.833344;-0.000544;-0.000064
401.041656;-0.000536;-0.000604
406.250000;0.000045;-0.000004
411.458344;0.000673;0.000427
416.666656;-0.000060;0.000295
421.875000;-0.000501;-0.000479
427.083344;-0.000377;-0.000457
432.291656;0.000381;0.000204
437.500000;0.000381;0.000374
442.708344;-0.000338;-0.000016
447.916656;-0.000616;-0.000636
453.125000;0.000010;-0.000093
458.333344;0.000475;0.000319
463.541656;0.000325;0.000365
468.750000;-0.000481;-0.000289
473.958344;-0.000552;-0.000575
479.166656;0.000230;0.000103
484.375000;0.000537;0.000417
489.583344;-0.000012;0.000241
494.791656;-0.000656;-0.000466
500.000000;-0.000277;-0.000395
505.208344;0.000402;0.000321
510.416656;0.000533;0.000292
515.625000;-0.000477;-0.000045
520.833313;-0.000551;-0.000671
526.041687;-0.000021;-0.000127
531.250000;0.000567;0.000380
536.458313;0.000160;0.000391
541.666687;-0.000505;-0.000499
546.875000;-0.000511;-0.000444
