time;sig_left;sig_right
0.000000;-0.000764;-0.001214
5.208333;0.000754;-0.000861
10.416667;0.001125;0.000936
15.625000;-0.000291;0.001102
20.833334;-0.001331;-0.000303
26.041666;-0.000292;-0.001487
31.250000;0.001147;-0.000134
36.458332;0.000668;0.001227
41.666668;-0.000846;0.000705
46.875000;-0.001027;-0.000950
52.083332;0.000387;-0.001132
57.291668;0.001208;0.000541
62.500000;0.000072;0.001251
67.708336;-0.001043;0.000048
72.916664;-0.000658;-0.001293
78.125000;0.000868;-0.000599
83.333336;0.001028;0.000903
88.541664;-0.000492;0.001126
93.750000;-0.001184;-0.000674
98.958336;-0.000027;-0.001196
104.166664;0.001121;-0.000023
109.375000;0.000459;0.001335
114.583336;-0.000843;0.000444
119.791664;-0.000890;-0.001065
125.000000;0.000509;-0.000791
130.208328;0.001063;0.000568
135.416672;0.000046;0.001127
140.625000;-0.001292;0.000041
145.833328;-0.000348;-0.001406
151.041672;0.000915;-0.000250
156.250000;0.000800;0.000876
161.458328;-0.000686;0.000884
166.666672;-0.000973;-0.000818
171.875000;0.000132;-0.001065
177.083328;0.001110;0.000250
182.291672;0.000317;0.001097
187.500000;-0.001055;0.000341
192.708328;-0.000515;-0.001039
197.916672;0.000550;-0.000759
203.125000;0.000954;0.000804
208.333328;-0.000298;0.001013
213.541672;-0.000996;-0.000415
218.750000;-0.000153;-0.001031
223.958328;0.000915;-0.000119
229.166672;0.000606;0.000970
234.375000;-0.000756;0.000613
239.583328;-0.000682;-0.001008
244.791672;0.000210;-0.000694
250.000000;0.000875;0.000349
255.208328;0.000140;0.000970
260.416656;-0.000893;0.000054
265.625000;-0.000450;-0.001135
270.833344;0.000770;-0.000326
276.041656;0.000622;0.000763
281.250000;-0.000317;0.000673
286.458344;-0.000769;-0.000431
291.666656;-0.000036;-0.000912
296.875000;0.000881;0.000092
302.083344;0.000161;0.000933
307.291656;-0.000557;0.000207
312.500000;-0.000747;-0.000760
317.708344;0.000613;-0.000654
322.916656;0.000784;0.000612
328.125000;-0.000098;0.000800
333.333344;-0.000934;-0.000204
338.541656;-0.000003;-0.001023
343.750000;0.000448;-0.000045
348.958344;0.000526;0.000628
354.166656;-0.000488;0.000493
359.375000;-0.000698;-0.000628
364.583344;0.000118;-0.000610
369.791656;0.000742;0.000159
375.000000;0.000120;0.000848
380.208344;-0.000567;0.000046
385.416656;-0.000350;-0.000719
390.625000;0.000444;-0.000383
395.833344;0.000507;0.000569
401.041656;-0.000217;0.000559
406.250000;-0.000509;-0.000301
411.458344;-0.000122;-0.000717
416.666656;0.000584;0.000088
421.875000;0.000302;0.000501
427.083344;-0.000441;0.000291
432.291656;-0.000431;-0.000564
437.500000;0.000220;-0.000451
442.708344;0.000471;0.000285
447.916656;-0.000014;0.000379
453.125000;-0.000525;-0.000017
458.333344;-0.000197;-0.000642
463.541656;0.000345;-0.000150
468.750000;0.000334;0.000477
