time;sig_left;sig_right
0.000000;-0.000239;-0.000029
5.208333;0.000448;0.000034
10.416667;0.000362;0.000092
15.625000;-0.000104;0.000083
20.833334;-0.000760;-0.000001
26.041666;-0.000036;-0.000146
31.250000;0.000523;-0.000092
36.458332;0.000270;0.000124
41.666668;-0.000583;0.000011
46.875000;-0.000537;-0.000197
52.083332;0.000263;-0.000120
57.291668;0.000727;0.000005
62.500000;0.000060;0.000250
67.708336;-0.000643;0.000006
72.916664;-0.000177;-0.000108
78.125000;0.000535;0.000051
83.333336;0.000403;-0.000013
88.541664;-0.000270;0.000123
93.750000;-0.000639;-0.000047
98.958336;0.000022;-0.000065
104.166664;0.000595;-0.000149
109.375000;0.000176;0.000117
114.583336;-0.000458;0.000029
119.791664;-0.000396;-0.000070
125.000000;0.000283;-0.000125
130.208328;0.000654;-0.000059
135.416672;-0.000021;0.000278
140.625000;-0.000650;0.000177
145.833328;-0.000229;-0.000226
151.041672;0.000584;-0.000014
156.250000;0.000218;0.000032
161.458328;-0.000207;-0.000092
166.666672;-0.000560;0.000000
171.875000;-0.000128;-0.000125
177.083328;0.000428;-0.000242
182.291672;0.000408;-0.000163
187.500000;-0.000188;0.000524
192.708328;-0.000543;0.000191
197.916672;0.000497;-0.000110
203.125000;0.000327;0.000010
208.333328;-0.000082;-0.000128
213.541672;-0.000832;0.000169
218.750000;0.000133;-0.000355
223.958328;0.000362;0.000059
229.166672;0.000539;-0.000128
234.375000;-0.000638;0.000326
239.583328;-0.000290;-0.000126
244.791672;0.000067;-0.000308
250.000000;0.000379;0.000183
255.208328;0.000318;-0.000311
260.416656;-0.000482;0.000574
265.625000;-0.000737;0.000041
270.833344;0.000585;-0.000492
276.041656;0.000819;0.000124
281.250000;-0.000522;0.000381
286.458344;-0.000773;-0.000093
291.666656;-0.000243;-0.000360
296.875000;0.000956;-0.000433
302.083344;0.000138;0.000635
307.291656;-0.000723;-0.000065
312.500000;-0.000124;-0.000270
317.708344;0.000562;0.000153
322.916656;0.000214;0.000266
328.125000;-0.000176;-0.000153
333.333344;-0.000716;-0.000221
338.541656;0.000009;-0.000164
343.750000;0.000535;0.000166
348.958344;0.000607;0.000013
354.166656;-0.000140;0.000262
359.375000;-0.000988;0.000250
364.583344;-0.000178;-0.000687
369.791656;0.000622;-0.000315
375.000000;0.000086;0.000302
380.208344;-0.000695;-0.000218
385.416656;-0.000166;-0.000220
390.625000;0.000454;0.000108
395.833344;0.000632;0.000429
401.041656;-0.000259;-0.000085
406.250000;-0.000344;0.000039
411.458344;0.000027;0.000058
416.666656;0.000302;0.000140
421.875000;0.000398;-0.000163
427.083344;-0.000299;0.000148
432.291656;-0.000462;0.000087
437.500000;-0.000014;-0.000035
442.708344;0.000694;-0.000266
447.916656;0.000179;0.000256
453.125000;-0.000667;0.000178
458.333344;-0.000396;-0.000190
463.541656;0.000470;-0.000251
468.750000;0.000599;0.000232
473.958344;-0.000413;0.000163
479.166656;-0.000631;-0.000234
484.375000;0.000190;0.000005
489.583344;0.000447;-0.000020
494.791656;0.000193;0.000266
500.000000;-0.000399;-0.000291
505.208344;-0.000464;0.000045
510.416656;0.000315;0.000111
515.625000;0.000346;-0.000190
520.833313;0.000171;0.000090
526.041687;-0.000615;0.000094
531.250000;-0.000185;-0.000089
536.458313;0.000278;-0.000097
541.666687;0.000554;-0.000025
546.875000;-0.000122;0.000302
552.083313;-0.000701;-0.000183
557.291687;0.000074;-0.000219
562.500000;0.000728;-0.000076
567.708313;0.000189;0.000293
572.916687;-0.000618;-0.000132
578.125000;-0.000234;-0.000098
583.333313;0.000267;0.000005
588.541687;0.000580;0.000104
593.750000;-0.000073;0.000016
598.958313;-0.000368;0.000184
604.166687;-0.000229;0.000144
609.375000;0.000444;-0.000160
614.583313;0.000285;-0.000000
619.791687;-0.000216;0.000027
625.000000;-0.000731;0.000064
630.208313;0.000204;-0.000287
635.416687;0.000546;-0.000115
640.625000;0.000294;0.000130
645.833313;-0.000699;0.000035
651.041687;-0.000361;-0.000255
656.250000;0.000439;-0.000011
661.458313;0.000612;0.000100
666.666687;-0.000311;0.000116
671.875000;-0.000673;-0.000190
677.083313;-0.000024;0.000007
682.291687;0.000582;-0.000063
687.500000;0.000124;0.000008
692.708313;-0.000152;-0.000064
697.916687;-0.000586;0.000085
703.125000;0.000193;-0.000017
708.333313;0.000356;-0.000115
713.541687;0.000252;-0.000004
718.750000;-0.000582;0.000155
723.958313;-0.000221;-0.000091
729.166687;0.000194;-0.000133
734.375000;0.000746;0.000004
739.583313;-0.000332;0.000261
744.791687;-0.000687;-0.000221
750.000000;0.000043;0.000023
755.208313;0.000625;-0.000063
760.416687;0.000224;0.000097
765.625000;-0.000640;-0.000103
770.833313;-0.000350;-0.000006
776.041687;0.000306;-0.000036
781.250000;0.000536;-0.000094
786.458313;-0.000082;-0.000032
791.666687;-0.000506;0.000151
796.875000;-0.000176;-0.000013
802.083313;0.000357;-0.000123
807.291687;0.000493;-0.000109
812.500000;-0.000350;0.000217
817.708313;-0.000542;0.000037
